                   d	                   z	                   d	                   z
               [ m ]	               [ m ]	               [ m ]	               [ m ]
      0,000000000000	      0,000011530510	      0,000000000000	      0,000009324990
      0,000028368210	      0,000011853722	      0,000028347276	      0,000009353830
      0,000056736420	      0,000012015190	      0,000056694551	      0,000009442753
      0,000085104630	      0,000012049867	      0,000085041827	      0,000009549902
      0,000113472841	      0,000011989751	      0,000113389103	      0,000009656536
      0,000141841051	      0,000011847354	      0,000141736378	      0,000009720852
      0,000170209261	      0,000011637076	      0,000170083654	      0,000009738404
      0,000198577471	      0,000011403907	      0,000198430930	      0,000009718920
      0,000226945681	      0,000011172655	      0,000226778205	      0,000009668444
      0,000255313891	      0,000010964122	      0,000255125481	      0,000009608970
      0,000283682101	      0,000010793505	      0,000283472757	      0,000009552760
      0,000312050311	      0,000010667305	      0,000311820032	      0,000009496643
      0,000340418522	      0,000010581043	      0,000340167308	      0,000009432821
      0,000368786732	      0,000010555234	      0,000368514584	      0,000009363429
      0,000397154942	      0,000010567798	      0,000396861859	      0,000009315564
      0,000425523152	      0,000010603816	      0,000425209135	      0,000009308151
      0,000453891362	      0,000010647426	      0,000453556411	      0,000009352078
      0,000482259572	      0,000010671231	      0,000481903686	      0,000009453499
      0,000510627782	      0,000010661406	      0,000510250962	      0,000009578020
      0,000538995992	      0,000010604551	      0,000538598238	      0,000009708081
      0,000567364203	      0,000010500221	      0,000566945513	      0,000009800789
      0,000595732413	      0,000010372865	      0,000595292789	      0,000009819857
      0,000624100623	      0,000010227580	      0,000623640065	      0,000009780551
      0,000652468833	      0,000010097521	      0,000651987340	      0,000009663079
      0,000680837043	      0,000009971396	      0,000680334616	      0,000009446476
      0,000709205253	      0,000009838832	      0,000708681892	      0,000009183453
      0,000737573463	      0,000009702364	      0,000737029167	      0,000008894416
      0,000765941673	      0,000009571189	      0,000765376443	      0,000008627349
      0,000794309884	      0,000009454448	      0,000793723719	      0,000008429707
      0,000822678094	      0,000009398251	      0,000822070994	      0,000008311767
      0,000851046304	      0,000009407317	      0,000850418270	      0,000008279024
      0,000879414514	      0,000009474085	      0,000878765546	      0,000008317013
      0,000907782724	      0,000009591473	      0,000907112821	      0,000008378886
      0,000936150934	      0,000009713832	      0,000935460097	      0,000008458866
      0,000964519144	      0,000009827180	      0,000963807373	      0,000008535245
      0,000992887354	      0,000009927415	      0,000992154648	      0,000008570864
      0,001021255565	      0,000009996708	      0,001020501924	      0,000008565470
      0,001049623775	      0,000010048864	      0,001048849200	      0,000008492539
      0,001077991985	      0,000010078864	      0,001077196475	      0,000008370673
      0,001106360195	      0,000010076200	      0,001105543751	      0,000008218969
      0,001134728405	      0,000010035180	      0,001133891027	      0,000008092294
      0,001163096615	      0,000009977112	      0,001162238302	      0,000008035016
      0,001191464825	      0,000009903559	      0,001190585578	      0,000008030790
      0,001219833035	      0,000009825490	      0,001218932854	      0,000008119166
      0,001248201246	      0,000009757661	      0,001247280129	      0,000008267419
      0,001276569456	      0,000009689736	      0,001275627405	      0,000008414147
      0,001304937666	      0,000009628959	      0,001303974681	      0,000008537906
      0,001333305876	      0,000009558686	      0,001332321956	      0,000008568600
      0,001361674086	      0,000009472377	      0,001360669232	      0,000008469407
      0,001390042296	      0,000009392626	      0,001389016508	      0,000008235465
      0,001418410506	      0,000009362462	      0,001417363783	      0,000007886869
      0,001446778717	      0,000009394820	      0,001445711059	      0,000007446680
      0,001475146927	      0,000009499635	      0,001474058335	      0,000006993227
      0,001503515137	      0,000009680769	      0,001502405610	      0,000006600529
      0,001531883347	      0,000009862149	      0,001530752886	      0,000006213532
      0,001560251557	      0,000010000275	      0,001559100162	      0,000005832072
      0,001588619767	      0,000010060574	      0,001587447437	      0,000005428305
      0,001616987977	      0,000010010032	      0,001615794713	      0,000004963680
      0,001645356187	      0,000009900666	      0,001644141989	      0,000004503443
      0,001673724398	      0,000009758315	      0,001672489264	      0,000004113523
      0,001702092608	      0,000009625656	      0,001700836540	      0,000003879619
      0,001730460818	      0,000009523820	      0,001729183816	      0,000003862177
      0,001758829028	      0,000009439306	      0,001757531091	      0,000004026180
      0,001787197238	      0,000009373779	      0,001785878367	      0,000004336550
      0,001815565448	      0,000009355523	      0,001814225643	      0,000004755458
      0,001843933658	      0,000009365431	      0,001842572918	      0,000005183649
